summary,class,activity,description,start_datetime,end_datetime,length_sec,length_min,length_hrs,date
Groups: Zoom Meeting,Groups,Zoom Meeting,School,2020-04-08T14:00:00Z,2020-04-08T15:00:00Z,3600,60,1,2020-04-08T04:00:00Z
Running,NA,Running,Exercise,2020-04-08T15:45:00Z,2020-04-08T16:30:00Z,2700,45,0.75,2020-04-08T04:00:00Z
Abnormal: Zoom Meeting,Abnormal,Zoom Meeting,School,2020-04-08T16:30:00Z,2020-04-08T18:00:00Z,5400,90,1.5,2020-04-08T04:00:00Z
Data Science: HW 5,Data Science,HW 5,School,2020-04-08T18:00:00Z,2020-04-08T20:00:00Z,7200,120,2,2020-04-08T04:00:00Z
Advising Meeting,NA,Advising Meeting,School,2020-04-08T20:00:00Z,2020-04-08T20:30:00Z,1800,30,0.5,2020-04-08T04:00:00Z
Golf,NA,Golf,Exercise,2020-04-08T20:30:00Z,2020-04-08T23:00:00Z,9000,150,2.5,2020-04-08T04:00:00Z
Dinner,NA,Dinner,Family,2020-04-08T23:00:00Z,2020-04-09T00:00:00Z,3600,60,1,2020-04-08T04:00:00Z
Groups: Study for Quiz,Groups,Study for Quiz,School,2020-04-09T01:30:00Z,2020-04-09T05:00:00Z,12600,210,3.5,2020-04-08T04:00:00Z
Sleep,NA,Sleep,Sleep,2020-04-09T05:00:00Z,2020-04-09T14:00:00Z,32400,540,9,2020-04-09T04:00:00Z
Groups: Zoom Meeting,Groups,Zoom Meeting,School,2020-04-09T14:00:00Z,2020-04-09T15:00:00Z,3600,60,1,2020-04-09T04:00:00Z
Groups: HW8,Groups,HW8,School,2020-04-09T15:00:00Z,2020-04-09T17:00:00Z,7200,120,2,2020-04-09T04:00:00Z
Data Science: Zoom Meeting,Data Science,Zoom Meeting,School,2020-04-09T17:00:00Z,2020-04-09T18:30:00Z,5400,90,1.5,2020-04-09T04:00:00Z
